Speaker,Prompt Name,Language,Gender,Tags,Prompt Audio Link,Continuation Audio Link
Speaker 0 (ZH),v2/zh_speaker_0,Chinese (Simplified),Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_0.mp3
Speaker 1 (ZH),v2/zh_speaker_1,Chinese (Simplified),Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_1.mp3
Speaker 2 (ZH),v2/zh_speaker_2,Chinese (Simplified),Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_2.mp3
Speaker 3 (ZH),v2/zh_speaker_3,Chinese (Simplified),Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_3.mp3
Speaker 4 (ZH),v2/zh_speaker_4,Chinese (Simplified),Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_4.mp3
Speaker 5 (ZH),v2/zh_speaker_5,Chinese (Simplified),Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_5.mp3
Speaker 6 (ZH),v2/zh_speaker_6,Chinese (Simplified),Female,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_6.mp3
Speaker 7 (ZH),v2/zh_speaker_7,Chinese (Simplified),Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_7.mp3
Speaker 8 (ZH),v2/zh_speaker_8,Chinese (Simplified),Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_8.mp3
Speaker 9 (ZH),v2/zh_speaker_9,Chinese (Simplified),Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/zh_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/zh_speaker_9.mp3
